,Class,Order,Family,Genus,count_in_fasta,missing_in_fasta
45,Chromadorea,Monhysterida,Monhysteridae,Thalassomonhystera,1,False
46,Chromadorea,Monhysterida,Xyalidae,Xyala,4,False
47,Chromadorea,Plectida,Camacolaimidae,Diodontolaimus,0,True
48,Chromadorea,Plectida,Ceramonematidae,Pselionema,3,False
49,Chromadorea,Plectida,Leptolaimidae,Leptolaimus,33,False
50,Chromadorea,Araeolaimida,Axonolaimidae,Axonolaimus,38,False
51,Chromadorea,Araeolaimida,Comesomatidae,Paracomesoma,26,False
52,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria,314,False
53,Chromadorea,Araeolaimida,Comesomatidae,Setosabatieria,18,False
54,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,18,False
55,Chromadorea,Chromadorida,Chromadoridae,Actinonema,4,False
56,Chromadorea,Chromadorida,Chromadoridae,Euchromadora,15,False
57,Chromadorea,Chromadorida,Cyatholaimidae,Paracanthonchus,79,False
58,Chromadorea,Desmodorida,Draconematidae,Cephalochaetosoma,0,True
59,Chromadorea,Desmodorida,Draconematidae,Dinetia,0,True
60,Chromadorea,Desmodorida,Epsilonematidae,Leptepsilonema,1,False
61,Chromadorea,Desmodorida,Microlaimidae,Aponema,3,False
62,Chromadorea,Desmodorida,Microlaimidae,Calomicrolaimus,7,False
63,Chromadorea,Desmodorida,Microlaimidae,Microlaimus,39,False
64,Chromadorea,Desmodorida,Desmodoridae,Psammonema,0,True
65,Chromadorea,Desmoscolecida,Cyartonematidae,Cyartonema,5,False
66,Chromadorea,Desmoscolecida,Desmoscolecoidae,Calligyrus,0,True
67,Chromadorea,Monhysterida,Monhysteridae,Monhystera,29,False
68,Chromadorea,Monhysterida,Xyalidae,Marisalbinema,0,True
69,Chromadorea,Monhysterida,Xyalidae,Promonhystera,3,False
70,Chromadorea,Monhysterida,Xyalidae,Theristus,83,False
71,Chromadorea,Plectida,Camacolaimidae,Deontolaimus,9,False
72,Enoplea,Enoplida,Anticomidae,Odontanticoma,0,True
73,Enoplea,Enoplida,Ironidae,Thalassironus,1,False
74,Enoplea,Enoplida,Oxystominidae,Halalaimus,94,False
75,Enoplea,Enoplida,Oxystominidae,Litinium,11,False
76,Enoplea,Enoplida,Oxystominidae,Oxystomina,51,False
77,Enoplea,Enoplida,Phanodermatidae,Crenopharynx,3,False
78,Enoplea,Enoplida,Rhabdolaimidae,Syringolaimus,52,False
79,Enoplea,Enoplida,Thoracostomopsidae,Paramesacanthion,50,False
80,Enoplea,Enoplida,Thoracostomopsidae,Trileptium,3,False
81,Enoplea,Enoplida,Oncholaimidae,Viscosia,64,False
82,Enoplea,Enoplida,Enchelidiidae,Bathyeurystomina,10,False
83,Enoplea,Enoplida,Oncholaimidae,Metoncholaimus,12,False
84,Enoplea,Enoplida,Oncholaimidae,Oncholaimus,130,False
85,Enoplea,Enoplida,Oncholaimidae,Prooncholaimus,10,False
